CustomerID,Lookalikes
C0001,"[('C0137', 0.9996737257282193), ('C0107', 0.9993447150812065), ('C0011', 0.9986628242048357)]"
C0002,"[('C0142', 0.9985890331579327), ('C0106', 0.9975372130356214), ('C0027', 0.9967162953970058)]"
C0003,"[('C0190', 0.9983241262871717), ('C0001', 0.9973757977251296), ('C0174', 0.9968311874084163)]"
C0004,"[('C0113', 0.9989456253340557), ('C0102', 0.9962564731826025), ('C0169', 0.9952766420160828)]"
C0005,"[('C0007', 0.9993786206560394), ('C0159', 0.9989357355802361), ('C0186', 0.9983508875953704)]"
C0006,"[('C0187', 0.9969813176991444), ('C0158', 0.9961102643398496), ('C0171', 0.9960151217252438)]"
C0007,"[('C0005', 0.9993786206560394), ('C0115', 0.9982460595849209), ('C0040', 0.9982195358597981)]"
C0008,"[('C0034', 0.9923406315088992), ('C0098', 0.9879254804829017), ('C0024', 0.9867158405028046)]"
C0009,"[('C0014', 0.9979451531926918), ('C0119', 0.9940360747360781), ('C0198', 0.9920116235092832)]"
C0010,"[('C0019', 0.9977199684468303), ('C0172', 0.9965718575691634), ('C0199', 0.9947952188920677)]"
C0011,"[('C0107', 0.9996584006982007), ('C0048', 0.9995034288918315), ('C0001', 0.9986628242048357)]"
C0012,"[('C0155', 0.9987956804076213), ('C0169', 0.9985433589885859), ('C0153', 0.9981519574299391)]"
C0013,"[('C0155', 0.9985988700240557), ('C0163', 0.9983616165683364), ('C0099', 0.9975245394902077)]"
C0014,"[('C0009', 0.9979451531926918), ('C0198', 0.9918859188488386), ('C0119', 0.9868067120027554)]"
C0015,"[('C0131', 0.993441442976935), ('C0144', 0.992459453240371), ('C0036', 0.9914272626911821)]"
C0016,"[('C0183', 0.9987103163264903), ('C0125', 0.9977221542172787), ('C0026', 0.9966445743690422)]"
C0017,"[('C0124', 0.9986193904982211), ('C0075', 0.9913550409608429), ('C0041', 0.9881528276051663)]"
C0018,"[('C0046', 0.9943553800919568), ('C0122', 0.9922124075051657), ('C0026', 0.9894713825794504)]"
C0019,"[('C0172', 0.999587873432732), ('C0010', 0.9977199684468303), ('C0199', 0.9935254897172909)]"
C0020,"[('C0042', 0.9868362769523862), ('C0050', 0.9795149926704917), ('C0015', 0.9762892132749572)]"
